Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
"Winnti Umbrella",2018-05-03,"Believed to be associated with the Axiom, APT 17, and Mirage threat actors. Believed to share the same tools and infrastructure as the threat actors that carried out Operation Aurora, the 2015 targeting of video game companies, the 2015 targeting of the Thai government, and the 2017 targeting of Chinese-language news websites","This threat actor targets software companies and political organizations in the United States, China, Japan, and South Korea. It primarily acts to support cyber operations conducted by other threat actors affiliated with Chinese intelligence services.",,"United States, United Kingdom, Japan, South Korea, China",China,Espionage,"Private sector",https://401trg.com/burning-umbrella/,https://arstechnica.com/information-technology/2018/05/researchers-link-a-decade-of-potent-hacks-to-chinese-intelligence-group/,
Chrysene,2018-05-17,"Believed to be linked to the compromise of Saudi Aramco, malware Shamoon 2.0, and the OilRig threat actor","This threat actor targets organizations involved in oil, gas, and electricity production, primarily in the Gulf region, for espionage purposes. According to one cybersecurity company, the threat actor “compromises a target machine and passes it off to another threat actor for further exploitation.”",,"Iraq, Pakistan, Israel, United Kingdom",,Espionage,"Private sector",https://dragos.com/blog/20180517Chrysene.html,,
"Targeting of the government of Belarus",2017-09-28,"Possibly linked to NetTraveler","A threat actor targeted the government of Belarus for espionage purposes, using a tool known as Travle or PYLOT, which is believed to be an update of malware used by NetTraveler.",,Belarus,,Espionage,Government,https://researchcenter.paloaltonetworks.com/2017/09/unit42-threat-actors-target-government-belarus-using-cmstar-trojan/,https://securelist.com/travle-aka-pylot-backdoor-hits-russian-speaking-targets/83455/,
"Targeting of Chinese-language news websites",2017-07-05,"Believed to be the work of Winnti Umbrella","A threat actor targeted the China Digital Times, a civil-society and news organization based outside China that publishes English- and Chinese-language content, using phishing techniques with the goal of compromising its network.",,"United States",China,Espionage,"Civil society",https://citizenlab.ca/2017/07/insider-information-an-intrusion-campaign-targeting-chinese-language-news-sites/,https://401trg.com/burning-umbrella/,
"Attempted compromise of email accounts associated with the UK Parliament",2017-06-25,,"A threat actor attempted to gain access to email accounts associated with members and other staffers of the British Parliament. The incident, originally believed to be the work of Russian or North Korean actors, was later attributed to Iran.",,"UK Parliament","Iran (Islamic Republic of)",Espionage,Government,https://www.theguardian.com/politics/2017/jun/24/cyber-attack-parliament-email-access,https://www.thetimes.co.uk/article/iran-attacks-9-000-email-accounts-in-parliament-w5mr836cg,https://www.theguardian.com/world/2017/oct/14/iran-to-blame-for-cyber-attack-on-mps-emails-british-intelligence
CopyKittens,2017-07-25,,"This threat actor targets government institutions, universities, defense contractors, and large IT companies for the purpose of espionage.",,"Israel, Saudi Arabia, United States, Jordan, Germany","Iran (Islamic Republic of)",Espionage,"Government, Private sector, Civil society",http://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,http://blog.trendmicro.com/copykittens-exposed-clearsky-trend-micro/,https://s3-eu-west-1.amazonaws.com/minervaresearchpublic/CopyKittens/CopyKittens.pdf
Sowbug,2017-11-07,,"This threat actor targets government organizations with a foreign policy role primarily in Latin America for espionage purposes. The threat actor uses the tools Felismus and Starloader.",,"Argentina, Brazil, Peru, Ecuador, Brunei, Malaysia",,Espionage,Government,https://www.symantec.com/connect/blogs/sowbug-cyber-espionage-group-targets-south-american-and-southeast-asian-governments,https://www.cyberscoop.com/previously-unknown-cyber-espionage-group-successfully-hacked-south-america-since-2015/,
"Targeting of U.S. electric companies",2017-10-10,,"A threat actor targeted U.S. electric companies with spear-phishing emails in an attempt to gain access to internal networks.",,"United States","Korea (Democratic People's Republic of)",Espionage,,https://www.fireeye.com/blog/threat-research/2017/10/north-korean-actors-spear-phish-us-electric-companies.html,,
"Compromise of Qatari website, leading to diplomatic rift",2017-07-16,,"Qatar claims the website of the Qatar News Agency was compromised by an unknown actor, who posted false remarks attributed to the Emir of Qatar that expressed support for Iran, Israel, Hezbollah and Hamas. The Washington Post reports that U.S. intelligence officials have identified the unknown actor as the United Arab Emirates.","Denouncement   https://www.reuters.com/article/us-gulf-qatar-emirates-statement/qatar-accuses-uae-of-hack-that-sparked-gulf-crisis-idUSKBN1A21H8","Qatar News Agency","United Arab Emirates",Defacement,Government,https://www.washingtonpost.com/world/national-security/uae-hacked-qatari-government-sites-sparking-regional-upheaval-according-to-us-intelligence-officials/2017/07/16/00c46e54-698f-11e7-8eb5-cbccc2e7bfbf_story.html?utm_term=.1fed4b000ad2,http://www.aljazeera.com/news/2017/05/cyberattack-qatar-puts-fake-news-focus-170525190113354.html,https://motherboard.vice.com/en_us/article/8x9xmk/the-hack-that-caused-a-crisis-in-the-middle-east-was-easy
"Targeting of the citizen journalism website Bellingcat",2017-11-02,"Believed to be the work of APT 28","A threat actor attempted to compromise Bellingcat, a citizen journalism website that conducts investigations, including about Russian involvement in the Syrian and Ukrainian conflicts.",,Bellingcat,"Russian Federation",Espionage,"Civil society",https://www.threatconnect.com/blog/fancy-bear-leverages-blogspot/,,
WannaCry,2017-06-14,"Believed to be the work of the Lazarus Group.","A threat actor used a tool called WannaCry to encrypt data in compromised networks, and intended to provide the victims with the decryption key only after a ransom had been paid. The threat actors used an exploit, called EternalBlue--first discovered by the U.S. National Security Agency--to propagate WannaCry in organizations using the Windows operating system. On December 19, 2017, the United States, Australia, Canada, Japan, and the United Kingdom issued statements accusing North Korea of being responsible for WannaCry.

In September 2018, the U.S. Department of Justice announced criminal charges alleging that North Korean entities were responsible for this incident.","Denouncement   https://www.wsj.com/articles/its-official-north-korea-is-behind-wannacry-1513642537","FedEx, UK National Health Service, Telefonica, Deutsche Bahn, PetroChina, Hitachi, Renault, Nissan, Sberbank","Korea (Democratic People's Republic of)","Data destruction","Private sector, Government",https://www.washingtonpost.com/world/national-security/the-nsa-has-linked-the-wannacry-computer-worm-to-north-korea/2017/06/14/101395a2-508e-11e7-be25-3a519335381c_story.html,http://www.bbc.com/news/technology-40297493,https://www.symantec.com/connect/blogs/wannacry-ransomware-attacks-show-strong-links-lazarus-group
"APT 33",2017-09-20,"Also known as Magnallium","This threat actor targets private-sector entities in the aviation, energy, and petrochemical sectors for the purpose of espionage.",,"United States, Saudi Arabia, South Korea","Iran (Islamic Republic of)",Espionage,"Private sector",https://www.fireeye.com/blog/threat-research/2017/09/apt33-insights-into-iranian-cyber-espionage.html,https://dragos.com/blog/20180621Magnallium.html,
"Targeting of Ethiopian dissidents",2017-12-06,,"A threat actor targeted Ethiopian dissidents for the purpose of espionage, using commercially available spyware sold by Cyberbit, an Israel-based company. Cyberbit is also believed to have tried to sell its spyware to law enforcement and national security organizations in the Philippines, Thailand, Uzbekistan, and Zambia.",,"Ethiopian dissidents",Ethiopia,Espionage,"Civil society",https://citizenlab.ca/2017/12/champing-cyberbit-ethiopian-dissidents-targeted-commercial-spyware/,https://arstechnica.com/tech-policy/2017/12/exposed-ethiopias-nefarious-comically-bungled-spyware-campaign/,
"Targeting of a Swiss federal agency",2017-09-15,"Believed to be the work of Turla","A threat actor targeted servers controlled by the Swiss Federal Department of Defense, Civil Protection, and Sports.","Denouncement   https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-68135.html",Switzerland,"Russian Federation",Espionage,Government,https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-68135.html,https://www.reuters.com/article/swiss-cyber-attacks/swiss-defence-ministry-foils-cyber-attack-idUSL5N1LW3VQ,
"Bad Rabbit",2017-10-24,"Believed to be the work of APT 28","Using a tool called Bad Rabbit, a threat actor launched a ransomware operation that encrypted data on networks in Bulgaria, Japan, Russia, Turkey, and Ukraine. The operation is believed to have disrupted the Kiev metro system's payment network and delayed flights at Odessa's airport. In October 2018, the United Kingdom attributed this incident to Russian military intelligence.",,"Ukraine, Japan, Russia, Bulgaria, Turkey","Russian Federation",Sabotage,Government,https://securelist.com/bad-rabbit-ransomware/82851/,https://www.symantec.com/connect/blogs/badrabbit-new-strain-ransomware-hits-russia-and-ukraine,https://www.reuters.com/article/us-ukraine-cyber/new-wave-of-cyber-attacks-hits-russia-other-nations-idUSKBN1CT21F
MuddyWater,2017-11-14,"Also known as TEMP.Zagros","This threat actor targets governments, primarily in the Middle East and South Asia, for espionage purposes.",,"Saudi Arabia, Iraq, United Arab Emirates, Georgia, Israel, Pakistan, Turkey, India, United States","Iran (Islamic Republic of)",Espionage,Government,https://researchcenter.paloaltonetworks.com/2017/11/unit42-muddying-the-water-targeted-attacks-in-the-middle-east/,https://www.reuters.com/article/us-saudi-cyber/saudi-agency-says-country-targeted-in-cyber-spying-campaign-idUSKBN1DK27M,https://reaqta.com/2017/11/muddywater-apt-targeting-middle-east/
"Compromise of the International Association of Athletics Federations",2017-04-03,"Believed to be the work of APT 28. ","A threat actor compromises the networks of the International Association of Athletics Federations with the purpose of obtaining the medical records of athletes. In October 2018, the United States indicted seven alleged Russian military intelligence officials involved in the incident.","Denouncement   http://www.reuters.com/article/us-sport-doping-iaaf-idUSKBN1750ZM","International Association of Athletics Federations","Russian Federation",Espionage,"Civil society",http://www.reuters.com/article/us-sport-doping-iaaf-idUSKBN1750ZM,https://www.iaaf.org/news/press-release/iaaf-cyber-attack,
